UMAP1,UMAP2,UMAP3,Cluster
9.039664,4.0609183,8.300031,0
9.122901,4.0688105,8.212521,0
8.710455,5.0031824,6.9490094,0
8.707208,5.0094147,6.9428315,0
8.678971,5.0344872,6.9724345,0
8.681185,5.03016,6.932121,0
8.75732,4.9545097,6.8699903,0
8.6909075,5.02506,6.9610925,0
8.693033,5.0122957,6.9411173,0
9.8925085,4.7556396,10.100378,0
9.901679,4.732452,10.114512,0
9.926139,4.751134,10.1333685,0
9.933803,4.7338467,10.140522,0
8.709542,3.5435324,9.0531645,0
8.745691,3.5899334,9.044418,0
8.725806,3.5795135,9.067626,0
8.708703,3.5371156,9.068132,0
8.7147665,3.518657,9.070009,0
8.697328,3.5303123,9.048804,0
8.351708,3.7425966,11.462179,0
8.32088,3.7011602,11.500481,0
8.4235935,3.7140784,11.309745,0
8.321939,3.707564,11.497398,0
9.021059,4.599589,9.852934,0
8.465411,3.723906,11.246837,0
8.34642,3.7282312,11.479629,0
8.399239,3.7116718,11.355366,0
8.315645,3.7221105,11.512899,0
8.431553,3.6746755,11.323195,0
8.340644,3.7190864,11.45909,0
8.402238,3.7058158,11.353996,0
8.315908,3.6998224,11.516833,0
8.369463,3.6691716,11.396364,0
9.247612,4.5221686,9.175188,0
9.17159,4.6519117,9.257838,0
9.206323,4.4901953,9.201916,0
8.453655,4.6277823,10.816039,0
8.436504,4.6471186,10.780979,0
8.460922,4.65,10.761654,0
8.428815,4.6389747,10.843297,0
8.402884,4.685193,10.821804,0
8.368749,4.6882925,10.836651,0
8.345303,4.733465,10.798773,0
8.383697,4.712186,10.803802,0
8.755508,4.871932,10.321121,0
8.881505,5.0289464,10.119495,0
8.771458,4.8906636,10.324652,0
8.758287,4.8813148,10.282047,0
8.736036,4.8265724,10.259689,0
8.72578,4.861625,10.275677,0
12.41292,5.2796793,10.062742,2
12.192434,5.10542,9.928052,2
12.0555935,5.106349,9.89897,2
7.8953614,5.1407266,9.048519,0
8.138923,4.8212466,8.824478,0
7.8074965,5.127329,9.012993,0
8.103919,4.82723,8.8415985,0
7.8309727,5.1367784,9.024338,0
8.091337,4.818977,8.833485,0
7.902106,5.1752553,9.065722,0
8.328646,4.883544,8.95883,0
7.8774405,5.1312895,9.043362,0
7.804904,5.113326,9.006422,0
7.7558646,5.0892377,8.95781,0
8.065706,4.7997994,8.814104,0
9.759061,6.323508,9.397911,0
9.791985,6.354046,9.435291,0
9.798912,6.591234,9.441077,0
9.82162,6.6213336,9.452417,0
9.818042,6.6771636,9.506433,0
9.820688,6.6226735,9.452504,0
9.791489,6.559812,9.440558,0
9.916697,6.7140837,9.56256,0
9.7466345,6.458861,9.339057,0
9.801689,6.5686097,9.409443,0
9.807286,6.595325,9.428203,0
9.798979,6.5444417,9.391249,0
9.719165,4.4012427,9.432174,0
9.6456585,4.4122667,9.339102,0
